trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,dropoff_type,shape_dist_traveled
BSP19GEN-FS011-Weekday-00_000000_FS.S01R,00:00:00,00:00:00,S01S,1,,0,0,
BSP19GEN-FS011-Saturday-00_000000_FS.S01R,00:00:00,00:00:00,S01S,1,,0,0,
BSP19GEN-FS012-Sunday-00_000000_FS.S01R,00:00:00,00:00:00,S01S,1,,0,0,
BSP19GEN-M086-Weekday-00_000000_M..S30R,00:00:00,00:00:00,M11S,1,,0,0,
BSP19SUPP-L022-Sunday-99_000100_L..N01X004,00:01:00,00:01:00,L29N,1,,0,0,
BSP19SUPP-L022-Saturday-99_000100_L..N01X006,00:01:00,00:01:00,L29N,1,,0,0,
BSP19SUPP-L045-Wednesday-173_000100_L..N01X004,00:01:00,00:01:00,L29N,1,,0,0,
ASP19GEN-5048-Sunday-00_000200_5..S32R,00:02:00,00:02:00,501S,1,,0,0,
ASP19GEN-5106-Weekday-00_000200_5..S32R,00:02:00,00:02:00,501S,1,,0,0,
ASP19GEN-5043-Saturday-00_000200_5..S32R,00:02:00,00:02:00,501S,1,,0,0,
ASP19GEN-3086-Weekday-00_000250_3..S42R,00:02:30,00:02:30,301S,1,,0,0,
ASP19GEN-2048-Sunday-00_000250_2..S08R,00:02:30,00:02:30,201S,1,,0,0,
ASP19GEN-3041-Sunday-00_000300_3..S42R,00:03:00,00:03:00,301S,1,,0,0,
ASP19GEN-3039-Saturday-00_000300_3..S42R,00:03:00,00:03:00,301S,1,,0,0,
ASP19GEN-4049-Sunday-00_000400_4..S01R,00:04:00,00:04:00,401S,1,,0,0,
BSP19GEN-D040-Sunday-00_000400_D..S05R,00:04:00,00:04:00,D01S,1,,0,0,
BSP19GEN-H024-Sunday-00_000300_H..S21R,00:04:30,00:04:30,H04S,1,,0,0,
ASP19GEN-4097-Weekday-00_000550_4..S01R,00:05:30,00:05:30,401S,1,,0,0,
ASP19GEN-4043-Saturday-00_000550_4..S01R,00:05:30,00:05:30,401S,1,,0,0,
ASP19GEN-1038-Saturday-00_000600_1..S03R,00:06:00,00:06:00,101S,1,,0,0,
ASP19GEN-1037-Sunday-00_000600_1..S03R,00:06:00,00:06:00,101S,1,,0,0,
SIR-FA2017-SI017-Weekday-08_000600_SI..S03R,00:06:00,00:06:00,S31S,1,,0,0,
SIR-FA2017-SI017-Sunday-00_000600_SI..S03R,00:06:00,00:06:00,S31S,1,,0,0,
SIR-FA2017-SI017-Saturday-00_000600_SI..S03R,00:06:00,00:06:00,S31S,1,,0,0,
ASP19GEN-1087-Weekday-00_000650_1..S03R,00:06:30,00:06:30,101S,1,,0,0,
ASP19GEN-6086-Weekday-00_000700_6..S01R,00:07:00,00:07:00,601S,1,,0,0,
ASP19GEN-6033-Saturday-00_000700_6..S01R,00:07:00,00:07:00,601S,1,,0,0,
ASP19GEN-6030-Sunday-00_000700_6..S01R,00:07:00,00:07:00,601S,1,,0,0,
BSP19SUPP-G033-Saturday-55_000850_G..S14R,00:08:30,00:08:30,G22S,1,,0,0,
BSP19GEN-D037-Saturday-00_000850_D..S05R,00:08:30,00:08:30,D01S,1,,0,0,
BSP19GEN-J032-Sunday-00_000850_J..S12R,00:08:30,00:08:30,G05S,1,,0,0,
BSP19GEN-D077-Weekday-00_000850_D..S05R,00:08:30,00:08:30,D01S,1,,0,0,
BSP19SUPP-G049-Weekday-32_000850_G..S14R,00:08:30,00:08:30,G22S,1,,0,0,
